"","sector","n_report","n_total","allo_report","allo_total","prct_report","class"
"1","CONSTRUCTION & TRANSPORTATION",0,27,0,59160,0,"SW"
"2","DOWNSTREAM OIL & GAS",2,65,42600,120950,35.2211657709797,"SW"
"3","ENVIRONMENTAL",0,1,0,960052,0,"SW"
"4","FORESTRY",0,135,0,234592,0,"SW"
"5","POWER GENERATION",0,6,0,1736,0,"SW"
"6","RECREATION",0,1,0,19720,0,"SW"
"7","TRADITIONAL USE",0,21,0,1451,0,"SW"
"8","UPSTREAM OIL & GAS",181,220,4159645,4241307,98.074602946686,"SW"
"9","URBAN",1,2,296040,602040,49.1728124377118,"SW"
"10","WATER MANAGEMENT",0,2,0,10,0,"SW"
