"Licence No.","Interim Licence No.","Approval Name","Status","Status Date","Doc Type","Industry Activity","Specific Activity","Effective Date","Expiry Date","Water Allocation Type","WA Status","Priority Date","Priority No","Source","Quantity (m3)","Consumptive Use (m3)","Losses (m3)","Return Flow (m3)","LSD","QUA","SEC","TWP","RNG","MER","Return LSD","Return QUA","Return SEC","Return TWP","Return RNG","Return MER","Well Id","Production Upper (m)","Production Lower (m)","Latitude","Longitude","Licence Holder","File Number","Surrounding Municipality","Region","River Basin","River Sub Basin","Location Type","Location Description","Water Allocation Id","Submitted Measurement Id","Measurement Value (m3)","Measurement Period Date","Reporting Interval","Submitter Comment","Regulator","Sector","Sub Sector","Specific Sector","Adhoc Report"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2046082","0","31-Jan-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2073364","0","29-Feb-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2087822","0","31-Mar-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2101459","0","30-Apr-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2123641","0","31-May-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2136663","0","30-Jun-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2151555","0","31-Jul-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2165369","0","31-Aug-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2181100","0","30-Sep-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
"00030764","L16547","ZAMA CITY/HAMLET/MACKENZIE MD NO.23 - F20649","IS","21-Nov-1994","WRLIC","WDMUN","URBAN","21-Nov-1994","","GW","AC","13-Jan-1988","19880113003","Unnamed Aquifer - Unclassified","82640","16528","0","66112","8","","15","117","5","6","","NE","6","117","4","6","","11.80","14.30","59.158248","-118.747605","MACKENZIE COUNTY","20649|20649","MD023","PCR","HAY","07OA","Diversion","8 15-117-5-6 (W-93-1)","10591","2229358","0","31-Oct-2020","MONTHLY","","ESRD","MUNICIPAL","SUBURBAN/RURAL","HAMLETS & RURAL MUNICIPALITIES (COUNTIES/MUNICIPAL DISTRICTS)","F"
