station_id,station_name,time,Latitude,Longitude,elevation,source,type_mes,snw,snd,den,data_flag_snw,data_flag_snd,qc_flag_snd,qc_flag_snw
ALE-07OA801,ASSUMPTION,4/1/2025,58.6,-118.46667,370,Alberta Environment,0,92,0.42,219.047619,b'',b'',b'',b''
ALE-07BC802,BARRHEAD NORTH,4/2/2025,54.266666,-114.35,670,Alberta Environment,0,53,0.19,278.9473684,b'',b'',b'',b''
ALE-07BC802,BARRHEAD NORTH,2/27/2025,54.266666,-114.35,670,Alberta Environment,0,60,0.2,300,b'',b'',b'',b''
ALE-07BB808,BARRHEAD WEST,4/2/2025,54.183334,-114.8,670,Alberta Environment,0,32,0.13,246.1538462,b'',b'',b'',b''
ALE-07BB808,BARRHEAD WEST,2/27/2025,54.183334,-114.8,670,Alberta Environment,0,63,0.25,252,b'',b'',b'',b''
ALE-07GE802,BEZANSON,4/3/2025,55.233334,-118.51667,690,Alberta Environment,0,0,0,,b'',b'',b'',b''
ALE-07GE802,BEZANSON,2/27/2025,55.233334,-118.51667,690,Alberta Environment,0,47,0.1,470,b'',b'',b'',b''
ALE-07AG802,EDSON #2,3/31/2025,53.583332,-116.23333,910,Alberta Environment,0,116,0.45,257.7777778,b'',b'',b'',b''
ALE-07FD801,EUREKA RIVER,4/1/2025,56.516666,-118.75,700,Alberta Environment,0,76,0.26,292.3076923,b'',b'',b'',b''
ALE-07FD802,FAIRVIEW,4/1/2025,56.033333,-118.4,630,Alberta Environment,0,48,0.13,369.2307692,b'',b'',b'',b''
ALE-07FD802,FAIRVIEW,2/25/2025,56.033333,-118.4,630,Alberta Environment,0,82,0.28,292.8571429,b'',b'',b'',b''
ALE-07BC803,FLATBUSH,4/1/2025,54.733334,-114.083336,640,Alberta Environment,0,97,0.32,303.125,b'',b'',b'',b''
ALE-07BC803,FLATBUSH,2/26/2025,54.733334,-114.083336,640,Alberta Environment,0,98,0.36,272.2222222,b'',b'',b'',b''
ALE-07HF801,FORT VERMILION,3/31/2025,58.383335,-116.03333,280,Alberta Environment,0,102,0.43,237.2093023,b'',b'',b'',b''
ALE-07GJ801,GIROUXVILLE,4/2/2025,55.766666,-117.333336,560,Alberta Environment,0,1,0,,b'',b'',b'',b''
ALE-07GJ801,GIROUXVILLE,2/28/2025,55.766666,-117.333336,560,Alberta Environment,0,50,0.11,454.5454545,b'',b'',b'',b''
ALE-07CA801,GRASSLAND,4/1/2025,54.816666,-112.683334,570,Alberta Environment,0,14,0.05,280,b'',b'',b'',b''
ALE-07CA801,GRASSLAND,2/26/2025,54.816666,-112.683334,570,Alberta Environment,0,52,0.15,346.6666667,b'',b'',b'',b''
ALE-07JF801,HIGH LEVEL,3/31/2025,58.516666,-117.183334,330,Alberta Environment,0,109,0.46,236.9565217,b'',b'',b'',b''
