site,elevation,Latitude,Longitude
Alcantara Lake,410.4,60.91243,-108.26043
Allan Lake,306.6,62.93262,-113.05068
Big Lake,420.9,64.80319,-112.920543
Big Spruce Lake,237.4,63.512,-116.00583
Blackstone River,201,61.05,-122.9
Bluefish Hydro,190.7,62.67783,-114.2525
Boundary Lake,822.3,59.49077,-115.54748
Caen Tower,205.2,61.67,-117.16
Caribou Creek,88.8,68.04639,-133.48944
Castor Lake,299.4,64.51564,-115.989337
Checkpoint,213.9,61.45,-121.25
Christison Lake,440,64.64979,-114.155174
Colville Lake,283.6,67.02,-126.06
Crown Fire,196,61.58,-117.15
Deline,168.8,65.19282433,-123.4280942
Denis Lake,408.6,63.35412,-112.64337
Dunvegan Lake,495.9,60.16692,-107.29118
Dymond Lake,399,61.39632,-106.2776
Enterprise,266.8,60.56,-116.15
Fort Good Hope,109.4,66.26963649,-128.6129009
Fort Liard,229.4,60.23,-123.47
Fort Liard_f,301.6,60.23,-123.4
Fort Mcpherson,38.8,67.47,-134.74
Fort Providence,157,61.26,-117.46
Fort Resolution,160,61.01,-113.73
Fort Simpson,174,61.80465,-121.32612
Fort Smith,213.3,60.00227,-111.91423
Ghost Lake,290,63.87814,-115.073673
Gray Lake,324.6,61.85075,-108.35235
Halliday Lake,380.8,61.37508,-109.0272
Hay River,170,60.83917,-115.83915
Hay River_f,171.1,60.77,-115.84
Hill Island Lake,325,60.51152,-109.78598
Hook Lake,159,60.66638,-112.7831
Indin Lake,298,64.37836,-115.026949
IT64NW,236.7,62.51354998,-113.3972
IT64SE,235.1,62.51238196,-113.392803
James Creek,670.9,67.14,-136
Jean Marie River_f,148,61.52,-120.65
Jolly Lake,446,64.12,-112.21
Kakisa River,189.2,60.99667,-117.27048
Kimble Tower,225,61.14,-117.73
Little Buffalo Tower,177.1,60.99243,-113.79048
Little Latham Lake,306.1,63.20888,-113.6469
Mattberry Lake,261.5,64.08953,-115.955609
Mesa Lake,389.5,64.8451,-115.1378271
Midway Lake,360.4,67.23,-135.44
Mosquito Creek,212.9,62.7,-116.16
Nahanni Butte Rd,318.1,61.95,-123.11
Nardin Lake,360,63.5235,-113.799
Ndulee Lookout,132.5,62.15,-122.53
Nonacho Lake,320,61.7338,-109.66118
Norman Wells,66.5,65.28018908,-126.7581128
Nyarling River,271,60.34258,-114.16995
Piers Lake,242,60.32075,-111.1372
Pine Point,222,60.82393,-114.46232
Pocket Lake,195.9,62.51,-114.371756
Powder Lake,410.9,61.04,-109.41
Rengleng River,91.7,67.63833,-133.83194
Shale Creek,120,62.07,-122.2
Sharples Lake,376,63.89505,-112.81402
Snare Lake,359.6,64.20356,-114.040142
Swede Creek,283,60.27443,-116.5554
Swede Creek_f,280,60.27,-116.56
Thekulthili Lake,320,60.96292,-110.22782
Thubun Lake,185,61.50075,-111.76345
Tibbitt Lake_m,271.1,62.5544,-113.340174
Tortuous Lake,235.2,60.75388,-111.70178
Trout Lake_f,267,61.14,-119.81
Tulita,72.7,64.90264579,-125.526701
Whirlwind Lake,445,60.24245,-108.68615
White Wolf Lake,439.9,65.00454,-114.10541
Winter Lake,382.1,64.49806,-113.029303
Wrigley_f,150.9,63.2,-123.41
