station_id,station_name,time,Latitude,Longitude,elevation,source,type_mes,snw,snd,den,data_flag_snw,data_flag_snd,qc_flag_snd,qc_flag_snw
BCE-4A02,PINE PASS,4/29/2015,55.35283,-122.64278,1450,British Columbia Environment,0,1098,2.53,433.9920949,b'',b'',b'',b''
BCE-4A09,PULPIT LAKE,4/1/2015,57.548504,-126.74895,1335,British Columbia Environment,0,420,1.29,325.5813953,b'',b'',b'',b''
BCE-4A09,PULPIT LAKE,4/28/2015,57.548504,-126.74895,1335,British Columbia Environment,0,429,1.1,390,b'',b'',b'',b''
BCE-4A06,TUTIZZI LAKE,3/31/2015,56.308067,-125.60031,1045,British Columbia Environment,0,213,0.76,280.2631579,b'',b'',b'',b''
BCE-4A06,TUTIZZI LAKE,4/29/2015,56.308067,-125.60031,1045,British Columbia Environment,0,104,0.32,325,b'',b'',b'',b''
BCE-4A13,PHILIP LAKE,3/31/2015,55.11328,-123.895424,1035,British Columbia Environment,0,221,0.67,329.8507463,b'',b'',b'',b''
BCE-4A13,PHILIP LAKE,4/29/2015,55.11328,-123.895424,1035,British Columbia Environment,0,81,0.25,324,b'',b'',b'',b''
BCE-4A18,MOUNT SHEBA,3/30/2015,54.526943,-121.80435,1490,British Columbia Environment,0,839,2.15,390.2325581,b'',b'',b'',b''
BCE-4A18,MOUNT SHEBA,4/30/2015,54.526943,-121.80435,1490,British Columbia Environment,0,867,2.07,418.8405797,b'',b'',b'',b''
BCE-4A03,WARE (UPPER),4/1/2015,57.38972,-125.71167,1575,British Columbia Environment,0,233,0.85,274.1176471,b'',b'',b'',b''
BCE-4A03,WARE (UPPER),4/28/2015,57.38972,-125.71167,1575,British Columbia Environment,0,237,0.78,303.8461538,b'',b'',b'',b''
BCE-4A04,WARE (LOWER),4/1/2015,57.405556,-125.66959,970,British Columbia Environment,0,180,0.69,260.8695652,b'',b'',b'',b''
BCE-4A04,WARE (LOWER),4/28/2015,57.405556,-125.66959,970,British Columbia Environment,0,92,0.36,255.5555556,b'',b'',b'',b''
BCE-4A05,GERMANSEN (UPPER),3/31/2015,55.81936,-124.69312,1480,British Columbia Environment,0,352,1.12,314.2857143,b'',b'',b'',b''
BCE-4A05,GERMANSEN (UPPER),4/29/2015,55.81936,-124.69312,1480,British Columbia Environment,0,220,0.92,239.1304348,b'',b'',b'',b''
BCE-4A07,LADY LAURIER LAKE,4/1/2015,56.701138,-123.754684,1440,British Columbia Environment,0,509,1.61,316.1490683,b'',b'',b'',b''
BCE-4A07,LADY LAURIER LAKE,4/27/2015,56.701138,-123.754684,1440,British Columbia Environment,0,545,1.46,373.2876712,b'',b'',b'',b''
BCE-4A10,FREDRICKSON LAKE,3/31/2015,56.94868,-126.52191,1325,British Columbia Environment,0,256,0.95,269.4736842,b'',b'',b'',b''
BCE-4A10,FREDRICKSON LAKE,4/29/2015,56.94868,-126.52191,1325,British Columbia Environment,0,226,0.7,322.8571429,b'',b'',b'',b''
BCE-4A11,TRYGVE LAKE,3/31/2015,56.994545,-127.45539,1410,British Columbia Environment,0,374,1.24,301.6129032,b'',b'',b'',b''
BCE-4A11,TRYGVE LAKE,4/28/2015,56.994545,-127.45539,1410,British Columbia Environment,0,418,1.17,357.2649573,b'',b'',b'',b''
BCE-4A12,TSAYDAYCHI LAKE,3/31/2015,55.416634,-124.7622,1190,British Columbia Environment,0,393,1.12,350.8928571,b'',b'',b'',b''
BCE-4A12,TSAYDAYCHI LAKE,4/29/2015,55.416634,-124.7622,1190,British Columbia Environment,0,316,0.91,347.2527473,b'',b'',b'',b''
BCE-4A16,MORFEE MOUNTAIN,4/29/2015,55.41728,-123.04176,1430,British Columbia Environment,0,803,1.76,456.25,b'',b'',b'',b''
BCE-4A20,MONKMAN CREEK,3/30/2015,54.725365,-121.2318,1570,British Columbia Environment,0,567,1.61,352.173913,b'',b'',b'',b''
BCE-4A20,MONKMAN CREEK,4/30/2015,54.725365,-121.2318,1570,British Columbia Environment,0,653,1.69,386.3905325,b'',b'',b'',b''
BCE-4A21,MOUNT STEARNS,4/1/2015,57.069527,-123.39929,1505,British Columbia Environment,0,156,0.69,226.0869565,b'',b'',b'',b''
BCE-4A21,MOUNT STEARNS,4/28/2015,57.069527,-123.39929,1505,British Columbia Environment,0,157,0.65,241.5384615,b'',b'',b'',b''
BCE-4A25,FORT ST. JOHN  A,3/30/2015,56.23722,-120.728615,690,British Columbia Environment,0,129,49,2.632653061,b'',b'',b'',b''
BCE-4C01,SIKANNI LAKE,4/1/2015,57.26386,-124.13252,1385,British Columbia Environment,0,287,1.08,265.7407407,b'',b'',b'',b''
BCE-4C01,SIKANNI LAKE,4/28/2015,57.26386,-124.13252,1385,British Columbia Environment,0,278,0.83,334.939759,b'',b'',b'',b''
BCE-4C02,SUMMIT LAKE,3/31/2015,58.64817,-124.7214,1280,British Columbia Environment,0,124,0.58,213.7931034,b'',b'',b'',b''
BCE-4C02,SUMMIT LAKE,5/1/2015,58.64817,-124.7214,1280,British Columbia Environment,0,72,0.23,313.0434783,b'',b'',b'',b''
BCE-4C05,FORT NELSON A,3/31/2015,58.84067,-122.5719,380,British Columbia Environment,0,60,0.27,222.2222222,b'',b'',b'',b''
