Site_name,Latitude,Longitude
Alcantara Lake,60.91243,-108.26043
Allan Lake,62.93262,-113.05068
Big Lake,64.80319,-112.920543
Big Spruce Lake,63.512,-116.00583
Bluefish Hydro,62.67783,-114.2525
Boundary Lake,59.49077,-115.54748
Caribou Creek,68.04639,-133.48944
Castor Lake,64.51564,-115.989337
Christison Lake,64.64979,-114.155174
Deline,65.19282433,-123.4280942
Denis Lake,63.35412,-112.64337
Dunvegan Lake,60.16692,-107.29118
Dymond Lake,61.39632,-106.2776
Fort Good Hope,66.26963649,-128.6129009
Fort Simpson,61.80465,-121.32612
Fort Smith,60.00227,-111.91423
Ghost Lake,63.87814,-115.073673
Gray Lake,61.85075,-108.35235
Halliday Lake,61.37508,-109.0272
Hay River,60.83917,-115.83915
Hill Island Lake,60.51152,-109.78598
Hook Lake,60.66638,-112.7831
Indin Lake,64.37836,-115.026949
IT64NW,62.51354998,-113.3972
IT64SE,62.51238196,-113.392803
Kakisa River,60.99667,-117.27048
Little Buffalo Tower,60.99243,-113.79048
Little Latham Lake,63.20888,-113.6469
Mattberry Lake,64.08953,-115.955609
Mesa Lake,64.8451,-115.1378271
Nardin Lake,63.5235,-113.799
Nonacho Lake,61.7338,-109.66118
Norman Wells,65.28018908,-126.7581128
Nyarling River,60.34258,-114.16995
Piers Lake,60.32075,-111.1372
Pine Point,60.82393,-114.46232
Pocket Lake,62.51,-114.371756
Rengleng River,67.63833,-133.83194
Sharples Lake,63.89505,-112.81402
Snare Lake,64.20356,-114.040142
Swede Creek,60.27443,-116.5554
Thekulthili Lake,60.96292,-110.22782
Thubun Lake,61.50075,-111.76345
Tibbitt Lake_m,62.5544,-113.340174
Tortuous Lake,60.75388,-111.70178
Tulita,64.90264579,-125.526701
Whirlwind Lake,60.24245,-108.68615
White Wolf Lake,65.00454,-114.10541
Winter Lake,64.49806,-113.029303
ASSUMPTION,58.60000,-118.46667
BARRHEAD NORTH,54.28361111,-114.3703
BARRHEAD WEST,54.18111111,-114.7864
BEZANSON,55.233334,-118.51667
BLACKSTONE RIVER,64.950,-138.277
BONNET PLUME LAKE,64.30531,-132.00087
EDSON #2,53.583332,-116.23333
EMBARRAS PORT,58.383335,-111.53333
EUREKA RIVER,56.516666,-118.7500
FAIRVIEW,56.03333333,-118.4000
FLATBUSH,54.733334,-114.083336
FORD LAKE,60.783306,-131.47147
FORT CHIPEWYAN,58.71111,-111.147222
FORT NELSON A,58.84067,-122.5719
FORT SMITH A,60.033333,-111.933334
FORT ST. JOHN  A,56.23722,-120.728615
FORT VERMILION,58.383335,-116.03333
FRANCES RIVER,60.583332,-129.18333
FREDRICKSON LAKE,56.94868,-126.52191
GERMANSEN (UPPER),55.81936,-124.69312
GIROUXVILLE,55.766666,-117.333336
GRASSLAND,54.816666,-112.683334
HIGH LEVEL,58.516666,-117.183334
HIGH PRAIRIE,55.40000,-116.4500
HINTON,53.55388889,-117.9225
HYLAND RIVER,61.516666,-128.26666
HYTHE,55.316666,-119.566666
KEG RIVER,57.633335,-117.566666
KINUSO,55.2275,-115.3836
LADY LAURIER LAKE,56.701138,-123.754684
LITTLE SMOKY,54.733334,-117.1500
LODGEPOLE,53.49333,-115.4261
MARMOT-JASPER,52.80667,-118.089444
MAYERTHORPE S.P.,53.866665,-115.316666
MEADOWVIEW,54.00333,-114.674722
MONKMAN CREEK,54.725365,-121.2318
MORFEE MOUNTAIN,55.41728,-123.04176
MOUNT SHEBA,54.526943,-121.80435
MOUNT STEARNS,57.069527,-123.39929
NORMAN WELLS A,65.28333,-126.8000
NORTH STAR,56.866665,-117.63333
OBED,53.566666,-117.21667
OGILVIE RIVER,65.350,-138.300
PADDLE RIVER H.W.,53.86889,-115.54305
PERRYVALE,54.466667,-113.166664
PHILIP LAKE,55.11328,-123.895424
PINE PASS,55.35283,-122.64278
PULPIT LAKE,57.548504,-126.74895
RYCROFT,55.70000,-118.73333
SAULTEAUX RIVER,55.166668,-114.23333
SEXSMITH,55.416668,-118.86667
SIKANNI LAKE,57.26386,-124.13252
SPRING CREEK#1,54.95194,-117.7506
STURGEON HEIGHTS,53.066666,-117.683334
SUMMIT LAKE,58.64817,-124.7214
SUNWAPTA FALLS,52.54333,-117.6481
SWEETGRASS,58.85000,-112.0000
TINTINA AIRSTRIP,61.086056,-131.24533
TRYGVE LAKE,56.994545,-127.45539
TSAYDAYCHI LAKE,55.416634,-124.7622
TUTIZZI LAKE,56.308067,-125.60031
TWIN LAKES,54.05889,-114.7947
WARE (LOWER),57.405556,-125.66959
WARE (UPPER),57.38972,-125.71167
WATSON LAKE AIRPORT,60.116665,-128.83333
WESTLOCK,54.00694,-113.989722
WHITECOURT,54.07027778,-115.5544
